date,Show_name,Show_theatre,This_Week_Gross,Difference,Average_ticket,Top_ticket,Seats_Sold,Seats_in_theater,Perfs,Previews,%cap,diff_cap,date_type,show_type
2023-01-22,& Juliet,Stephen Sondheim Theatre,"$1,039,379.30","-$130,919.60",$130.15,$323.00,"7,986","1,026",8,0,97.30%,0.11%,post,Musical
2023-01-22,"A Beautiful Noise, The Neil Diamond Musical",Broadhurst Theatre,"$1,140,975.25","-$43,637.27",$141.84,$347.50,"8,044","1,152",8,0,87.28%,4.61%,post,Musical
2023-01-22,Aladdin,New Amsterdam Theatre,"$1,159,196.30","-$86,397.70",$87.08,$199.50,"13,312","1,727",8,0,96.35%,-1.19%,post,Musical
2023-01-22,Between Riverside and Crazy,Helen Hayes Theater,"$343,582.97","$35,937.22",$77.59,$197.00,"4,428",579,8,0,95.60%,4.62%,post,Play
2023-01-22,Chicago,Ambassador Theatre,"$836,318.25","$208,945.45",$97.84,$207.00,"8,548","1,080",8,0,98.94%,8.42%,post,Musical
2023-01-22,Funny Girl,August Wilson Theatre,"$1,933,870.50","-$84,006.75",$203.07,$0.00,"9,523","1,219",8,0,97.65%,-0.57%,post,Musical
2023-01-22,Hadestown,Walter Kerr Theatre,"$755,972.50","-$84,968.50",$103.37,$0.00,"7,313",918,8,0,99.58%,-0.88%,post,Musical
2023-01-22,Hamilton,Richard Rodgers Theatre,"$1,946,800.00","-$131,821.00",$184.16,$449.00,"10,571","1,324",8,0,99.80%,-0.84%,post,Musical
2023-01-22,Harry Potter and the Cursed Child,Lyric Theatre,"$1,247,905.30","-$246,496.70",$107.75,$299.00,"11,582","1,622",8,0,89.26%,-4.21%,post,Play
2023-01-22,Kimberly Akimbo,Booth Theatre,"$537,652.80","-$77,825.25",$92.59,$273.00,"5,807",773,8,0,93.90%,-2.15%,post,Musical
2023-01-22,Leopoldstadt,Longacre Theatre,"$808,145.10","-$61,999.58",$126.41,$347.00,"6,393","1,075",8,0,74.34%,-2.13%,post,Play
2023-01-22,MJ The Musical,Neil Simon Theatre,"$1,654,434.50","-$64,779.50",$149.03,$250.00,"11,101","1,387",8,0,100.05%,4.25%,post,Musical
2023-01-22,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,437,415.50","$102,353.00",$141.08,$0.00,"10,189","1,300",8,0,97.97%,-1.22%,post,Musical
2023-01-22,Pictures From Home,Studio 54,"$413,288.00","$129,716.00",$79.69,$297.00,"5,186",807,0,7,91.80%,-1.42%,post,Play
2023-01-22,SIX: The Musical,Lena Horne Theatre,"$1,061,268.00","-$96,288.00",$131.83,$249.00,"8,050","1,031",8,0,97.60%,1.54%,post,Musical
2023-01-22,Some Like It Hot,Sam S. Shubert Theatre,"$824,754.62","-$97,139.60",$94.61,$257.00,"8,717","1,448",8,0,75.25%,0.55%,post,Musical
2023-01-22,Take Me Out,Gerald Schoenfeld Theatre,"$544,669.30","$15,366.30",$84.22,$297.00,"6,467","1,061",8,0,76.19%,4.95%,post,Play
2023-01-22,The Book of Mormon,Eugene O'Neill Theatre,"$960,796.05","-$98,887.98",$114.26,$0.00,"8,409","1,066",8,0,98.60%,0.50%,post,Musical
2023-01-22,The Collaboration,Samuel J. Friedman Theatre,"$371,001.00","$19,161.00",$81.24,$279.00,"4,567",637,8,0,89.62%,6.46%,post,Play
2023-01-22,The Lion King,Minskoff Theatre,"$1,795,439.00","-$90,392.00",$139.00,$199.00,"12,917","1,696",8,0,95.20%,-0.69%,post,Musical
2023-01-22,The Phantom of the Opera,Majestic Theatre,"$2,227,184.76","$46,848.09",$172.41,$497.00,"12,918","1,605",8,0,100.61%,-0.51%,post,Musical
2023-01-22,The Piano Lesson,Ethel Barrymore Theatre,"$1,137,876.78","$259,309.83",$136.65,$297.00,"8,327","1,043",8,0,99.80%,19.80%,post,Play
2023-01-22,Wicked,Gershwin Theatre,"$1,657,436.50","-$9,855.50",$114.37,$275.00,"14,492","1,867",8,0,97.05%,1.90%,post,Musical
2023-01-15,& Juliet,Stephen Sondheim Theatre,"$1,170,298.90","$46,843.60",$146.71,$323.00,"7,977","1,026",8,0,97.19%,-2.12%,post,Musical
