date,Show_name,Show_theatre,This_Week_Gross,Difference,Average_ticket,Top_ticket,Seats_Sold,Seats_in_theater,Perfs,Previews,%cap,diff_cap,date_type,show_type
2022-07-03,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,106,690.65","-$101,666.10",$112.05,$0.00,"9,877","1,300",8,0,94.97%,-3.56%,post,Musical
2022-07-03,Mr. Saturday Night,Nederlander Theatre,"$684,966.00","-$135,724.50",$110.80,$299.00,"6,182","1,188",7,0,74.34%,2.77%,post,Musical
2022-07-03,Paradise Square,Ethel Barrymore Theatre,"$300,508.40","-$63,155.40",$70.23,$297.00,"4,279",982,8,0,54.47%,-3.47%,post,Musical
2022-07-03,Plaza Suite,Hudson Theatre,"$1,045,850.90","-$551,884.10",$178.87,$549.00,"5,847",975,6,0,99.95%,0.24%,post,Play
2022-07-03,"POTUS: Or, Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive",Sam S. Shubert Theatre,"$406,925.88","-$87,255.62",$73.49,$248.00,"5,537","1,451",8,0,47.70%,-2.84%,post,Play
2022-07-03,SIX: The Musical,Lena Horne Theatre,"$1,251,317.00","$51,009.00",$154.48,$249.00,"8,100","1,031",8,0,98.21%,-2.14%,post,Musical
2022-07-03,The Book of Mormon,Eugene O'Neill Theatre,"$969,889.65","-$78,891.05",$117.28,$0.00,"8,270","1,066",8,0,96.97%,-1.08%,post,Musical
2022-07-03,The Lion King,Minskoff Theatre,"$2,162,416.00","$45,180.00",$161.00,$199.00,"13,431","1,696",8,0,98.99%,-0.69%,post,Musical
2022-07-03,The Minutes,Studio 54,"$193,650.00","-$57,521.00",$71.48,$195.00,"2,709",667,7,0,58.02%,-1.93%,post,Play
2022-07-03,The Music Man,Winter Garden Theatre,"$3,067,547.24","-$166,470.68",$256.78,$597.00,"11,946","1,525",8,0,97.92%,-0.36%,post,Musical
2022-07-03,The Phantom of the Opera,Majestic Theatre,"$1,037,959.65","$79,888.84",$94.45,$247.00,"10,989","1,605",8,0,85.58%,6.31%,post,Musical
2022-07-03,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$716,065.00","-$126,908.00",$92.11,$249.00,"7,774","1,478",8,0,65.75%,-3.42%,post,Musical
2022-07-03,Wicked,Gershwin Theatre,"$1,826,026.00","-$142,130.00",$131.14,$260.00,"13,924","1,807",8,0,96.32%,-2.14%,post,Musical
2022-06-26,A Strange Loop,Lyceum Theatre,"$860,496.00","$15,182.56",$118.44,$397.00,"7,265",912,8,0,99.58%,-0.30%,post,Musical
2022-06-26,Aladdin,New Amsterdam Theatre,"$1,355,330.32","$107,980.37",$99.86,$199.50,"13,572","1,727",8,0,98.23%,3.34%,post,Musical
2022-06-26,American Buffalo,Circle in the Square Theatre,"$442,645.94","-$26,174.76",$100.42,$299.50,"4,408",751,8,0,73.37%,-1.75%,post,Play
2022-06-26,Beetlejuice,Marquis Theatre,"$1,231,851.50","$34,265.00",$118.14,$249.00,"10,427","1,602",8,0,81.36%,1.82%,post,Musical
2022-06-26,Chicago,Ambassador Theatre,"$524,956.65","-$83,371.36",$89.52,$197.00,"5,864","1,080",8,0,67.87%,-9.63%,post,Musical
2022-06-26,Come From Away,Gerald Schoenfeld Theatre,"$545,263.14","-$6,769.36",$89.24,$247.00,"6,110","1,046",7,0,83.45%,5.55%,post,Musical
2022-06-26,Company,Bernard B. Jacobs Theatre,"$823,686.19","$96,507.70",$114.85,$327.00,"7,172","1,046",8,0,85.71%,8.63%,post,Musical
2022-06-26,Dear Evan Hansen,Music Box Theatre,"$636,061.05","$35,578.90",$94.75,$248.00,"6,713",984,8,0,85.28%,0.31%,post,Musical
2022-06-26,Funny Girl,August Wilson Theatre,"$1,071,617.93","-$59,871.92",$128.69,$0.00,"8,327","1,219",8,0,85.39%,0.37%,post,Musical
2022-06-26,Hadestown,Walter Kerr Theatre,"$867,036.00","-$17,570.50",$119.00,$0.00,"7,286",918,8,0,99.21%,-0.40%,post,Musical
2022-06-26,Hamilton,Richard Rodgers Theatre,"$2,273,932.00","$43,499.00",$214.91,$449.00,"10,581","1,324",8,0,99.90%,1.28%,post,Musical
2022-06-26,Harry Potter and the Cursed Child,Lyric Theatre,"$1,572,901.35","$50,053.80",$125.90,$276.50,"12,493","1,622",8,0,96.28%,1.81%,post,Play
2022-06-26,Macbeth,Longacre Theatre,"$796,836.50","-$126,629.40",$123.77,$497.00,"6,438","1,051",7,0,87.51%,4.15%,post,Play
2022-06-26,MJ The Musical,Neil Simon Theatre,"$1,681,671.00","$20,693.00",$150.97,$250.00,"11,139","1,387",8,0,100.39%,0.62%,post,Musical
2022-06-26,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,208,356.75","-$65,815.35",$117.92,$0.00,"10,247","1,300",8,0,98.53%,-0.02%,post,Musical
2022-06-26,Mr. Saturday Night,Nederlander Theatre,"$820,690.50","$87,881.00",$137.88,$299.00,"5,952","1,188",7,0,71.57%,-3.64%,post,Musical
2022-06-26,Paradise Square,Ethel Barrymore Theatre,"$363,663.80","-$24,006.10",$79.89,$297.00,"4,552",982,8,0,57.94%,-6.52%,post,Musical
2022-06-26,Plaza Suite,Hudson Theatre,"$1,597,735.00","$1,427.90",$205.44,$549.00,"7,777",975,8,0,99.71%,-0.15%,post,Play
2022-06-26,"POTUS: Or, Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive",Sam S. Shubert Theatre,"$494,181.50","-$3,250.00",$84.23,$248.00,"5,867","1,451",8,0,50.54%,0.45%,post,Play
2022-06-26,SIX: The Musical,Lena Horne Theatre,"$1,200,308.00","$28,373.00",$165.74,$249.00,"7,242","1,031",7,0,100.35%,0.83%,post,Musical
2022-06-26,The Book of Mormon,Eugene O'Neill Theatre,"$1,048,780.70","$140,164.50",$125.42,$0.00,"8,362","1,066",8,0,98.05%,9.94%,post,Musical
2022-06-26,The Lion King,Minskoff Theatre,"$2,117,236.00","$170,091.00",$156.55,$199.00,"13,524","1,696",8,0,99.68%,1.34%,post,Musical
2022-06-26,The Minutes,Studio 54,"$251,171.00","-$20,964.00",$89.74,$195.00,"2,799",667,7,0,59.95%,1.52%,post,Play
2022-06-26,The Music Man,Winter Garden Theatre,"$3,234,017.92","$1,453,967.44",$269.73,$597.00,"11,990","1,525",8,0,98.28%,27.48%,post,Musical
2022-06-26,The Phantom of the Opera,Majestic Theatre,"$958,070.81","-$28,309.23",$94.13,$247.00,"10,178","1,605",8,0,79.27%,-2.05%,post,Musical
2022-06-26,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$842,973.00","$71,432.50",$103.07,$249.00,"8,179","1,478",8,0,69.17%,8.77%,post,Musical
2022-06-26,Wicked,Gershwin Theatre,"$1,968,156.00","$73,157.00",$133.87,$260.00,"14,702","1,867",8,0,98.46%,1.14%,post,Musical
2022-06-19,A Strange Loop,Lyceum Theatre,"$845,313.44","$168,997.94",$116.00,$373.00,"7,287",912,8,0,99.88%,1.99%,post,Musical
2022-06-19,Aladdin,New Amsterdam Theatre,"$1,247,349.95","-$25,655.70",$95.14,$199.50,"13,110","1,727",8,0,94.89%,-0.35%,post,Musical
2022-06-19,American Buffalo,Circle in the Square Theatre,"$468,820.70","$8,778.74",$103.88,$299.50,"4,513",751,8,0,75.12%,0.59%,post,Play
2022-06-19,Beetlejuice,Marquis Theatre,"$1,197,586.50","$36,999.00",$117.48,$249.00,"10,194","1,602",8,0,79.54%,2.53%,post,Musical
2022-06-19,Chicago,Ambassador Theatre,"$608,328.01","$59,408.62",$90.85,$197.00,"6,696","1,080",8,0,77.50%,6.26%,post,Musical
2022-06-19,Come From Away,Gerald Schoenfeld Theatre,"$552,032.50","-$40,731.00",$84.68,$247.00,"6,519","1,046",8,0,77.90%,1.12%,post,Musical
2022-06-19,Company,Bernard B. Jacobs Theatre,"$727,178.49","$86,881.46",$112.74,$327.00,"6,450","1,046",8,0,77.08%,3.05%,post,Musical
2022-06-19,Dear Evan Hansen,Music Box Theatre,"$600,482.15","$13,215.35",$89.77,$248.00,"6,689",984,8,0,84.97%,6.30%,post,Musical
2022-06-19,Funny Girl,August Wilson Theatre,"$1,131,489.85","$14,794.60",$136.47,$0.00,"8,291","1,219",8,0,85.02%,-0.90%,post,Musical
2022-06-19,Girl From the North Country,Belasco Theatre,"$342,227.54","$67,494.04",$73.93,$197.00,"4,629",798,8,0,72.51%,8.39%,post,Musical
2022-06-19,Hadestown,Walter Kerr Theatre,"$884,606.50","$6,313.75",$120.93,$0.00,"7,315",918,8,0,99.61%,0.99%,post,Musical
2022-06-19,Hamilton,Richard Rodgers Theatre,"$2,230,433.00","$39,768.00",$213.52,$449.00,"10,446","1,324",8,0,98.62%,1.93%,post,Musical
2022-06-19,Hangmen,John Golden Theatre,"$358,976.00","$65,484.64",$94.87,$223.00,"3,784",802,8,0,58.98%,9.17%,post,Play
2022-06-19,Harry Potter and the Cursed Child,Lyric Theatre,"$1,522,847.55","$41,630.15",$124.23,$276.50,"12,258","1,622",8,0,94.47%,1.97%,post,Play
2022-06-19,Macbeth,Longacre Theatre,"$923,465.90","$14,121.90",$131.75,$497.00,"7,009","1,051",8,0,83.36%,-2.76%,post,Play
2022-06-19,MJ The Musical,Neil Simon Theatre,"$1,660,978.00","$216,921.40",$150.04,$250.00,"11,070","1,387",8,0,99.77%,3.65%,post,Musical
2022-06-19,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,274,172.10","$38,898.40",$124.32,$0.00,"10,249","1,300",8,0,98.55%,1.33%,post,Musical
2022-06-19,Mr. Saturday Night,Nederlander Theatre,"$732,809.50","-$115,220.50",$136.69,$299.00,"5,361","1,188",6,0,75.21%,-2.57%,post,Musical
2022-06-19,Paradise Square,Ethel Barrymore Theatre,"$387,669.90","$124,523.40",$76.55,$297.00,"5,064",982,8,0,64.46%,4.35%,post,Musical
2022-06-19,Plaza Suite,Hudson Theatre,"$1,596,307.10","-$112,079.50",$204.94,$549.00,"7,789",975,8,0,99.86%,0.08%,post,Play
2022-06-19,"POTUS: Or, Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive",Sam S. Shubert Theatre,"$497,431.50","$18,459.75",$85.56,$248.00,"5,814","1,451",8,0,50.09%,-0.73%,post,Play
2022-06-19,SIX: The Musical,Lena Horne Theatre,"$1,171,935.00","$55,371.00",$163.18,$249.00,"7,182","1,031",7,0,99.52%,0.38%,post,Musical
2022-06-19,The Book of Mormon,Eugene O'Neill Theatre,"$908,616.20","-$94,747.30",$120.92,$0.00,"7,514","1,066",8,0,88.11%,-6.40%,post,Musical
2022-06-19,The Lion King,Minskoff Theatre,"$1,947,145.00","-$3,927.00",$145.93,$199.00,"13,343","1,696",8,0,98.34%,-0.23%,post,Musical
2022-06-19,The Minutes,Studio 54,"$272,135.00","-$8,667.00",$87.28,$195.00,"3,118",667,8,0,58.43%,-1.13%,post,Play
2022-06-19,The Music Man,Winter Garden Theatre,"$1,780,050.48","-$1,631,334.48",$206.10,$597.00,"8,637","1,525",8,0,70.80%,-29.75%,post,Musical
2022-06-19,The Phantom of the Opera,Majestic Theatre,"$986,380.04","$20,730.34",$94.46,$247.00,"10,442","1,605",8,0,81.32%,0.61%,post,Musical
2022-06-19,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$771,540.50","-$160,263.50",$108.03,$249.00,"7,142","1,478",8,0,60.40%,-6.05%,post,Musical
2022-06-19,Wicked,Gershwin Theatre,"$1,894,999.00","$33,903.00",$130.40,$260.00,"14,532","1,867",8,0,97.32%,-1.41%,post,Musical
2022-06-12,A Strange Loop,Lyceum Theatre,"$676,315.50","-$9,456.63",$108.23,$347.00,"6,249",912,7,0,97.89%,8.53%,post,Musical
2022-06-12,Aladdin,New Amsterdam Theatre,"$1,273,005.65","$84,366.48",$96.74,$199.50,"13,159","1,727",8,0,95.24%,-0.35%,post,Musical
2022-06-12,American Buffalo,Circle in the Square Theatre,"$460,041.96","$26,493.16",$102.73,$299.50,"4,478",751,8,0,74.53%,1.08%,post,Play
2022-06-12,Beetlejuice,Marquis Theatre,"$1,160,587.50","$141,086.00",$117.59,$249.00,"9,870","1,602",8,0,77.01%,7.61%,post,Musical
2022-06-12,Chicago,Ambassador Theatre,"$548,919.39","-$214,533.10",$89.18,$197.00,"6,155","1,080",8,0,71.24%,-19.01%,post,Musical
2022-06-12,Come From Away,Gerald Schoenfeld Theatre,"$592,763.50","$131,004.00",$92.26,$247.00,"6,425","1,046",8,0,76.78%,13.13%,post,Musical
2022-06-12,Company,Bernard B. Jacobs Theatre,"$640,297.03","$57,317.88",$103.36,$327.00,"6,195","1,046",8,0,74.03%,8.47%,post,Musical
2022-06-12,Dear Evan Hansen,Music Box Theatre,"$587,266.80","$78,811.85",$94.83,$248.00,"6,193",984,8,0,78.67%,9.15%,post,Musical
2022-06-12,Funny Girl,August Wilson Theatre,"$1,116,695.25","-$61,331.50",$133.27,$0.00,"8,379","1,219",8,0,85.92%,-1.80%,post,Musical
2022-06-12,Girl From the North Country,Belasco Theatre,"$274,733.50","-$33,400.74",$76.70,$197.00,"3,582",798,7,0,64.12%,8.61%,post,Musical
2022-06-12,Hadestown,Walter Kerr Theatre,"$878,292.75","$31,353.90",$121.26,$0.00,"7,243",918,8,0,98.62%,1.32%,post,Musical
2022-06-12,Hamilton,Richard Rodgers Theatre,"$2,190,665.00","-$1,053.00",$213.91,$449.00,"10,241","1,324",8,0,96.69%,-3.30%,post,Musical
2022-06-12,Hangmen,John Golden Theatre,"$293,491.36","$36,292.80",$91.83,$223.00,"3,196",802,8,0,49.81%,6.23%,post,Play
2022-06-12,Harry Potter and the Cursed Child,Lyric Theatre,"$1,481,217.40","$150,025.10",$123.40,$276.50,"12,003","1,622",8,0,92.50%,4.78%,post,Play
2022-06-12,How I Learned to Drive,Samuel J. Friedman Theatre,"$288,289.00","$127,741.00",$71.11,$299.00,"4,054",637,7,0,90.92%,15.84%,post,Play
2022-06-12,Macbeth,Longacre Theatre,"$909,344.00","-$85,926.20",$143.52,$497.00,"6,336","1,051",7,0,86.12%,6.79%,post,Play
2022-06-12,MJ The Musical,Neil Simon Theatre,"$1,444,056.60","$41,159.20",$135.39,$250.00,"10,666","1,387",8,0,96.12%,1.41%,post,Musical
2022-06-12,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,235,273.70","$38,554.90",$122.17,$0.00,"10,111","1,300",8,0,97.22%,5.08%,post,Musical
2022-06-12,Mr. Saturday Night,Nederlander Theatre,"$848,030.00",$0.00,$131.11,$299.00,"6,468","1,188",7,0,77.78%,0.00%,post,Musical
2022-06-12,Paradise Square,Ethel Barrymore Theatre,"$263,146.50","$33,809.80",$55.73,$248.00,"4,722",982,8,0,60.11%,1.57%,post,Musical
2022-06-12,Plaza Suite,Hudson Theatre,"$1,708,386.60","$131,487.05",$219.50,$549.00,"7,783",975,8,0,99.78%,1.23%,post,Play
2022-06-12,"POTUS: Or, Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive",Sam S. Shubert Theatre,"$478,971.75","$48,071.75",$81.20,$248.00,"5,899","1,451",8,0,50.82%,2.72%,post,Play
2022-06-12,SIX: The Musical,Lena Horne Theatre,"$1,116,564.00","-$50,634.00",$156.05,$249.00,"7,155","1,031",7,0,99.14%,6.10%,post,Musical
2022-06-12,Take Me Out,Helen Hayes Theater,"$717,419.65","$59,209.50",$154.95,$299.00,"4,630",581,8,0,99.61%,0.94%,post,Play
2022-06-12,The Book of Mormon,Eugene O'Neill Theatre,"$1,003,363.50","$55,519.60",$124.49,$0.00,"8,060","1,066",8,0,94.51%,3.54%,post,Musical
2022-06-12,The Lion King,Minskoff Theatre,"$1,951,072.00","$86,488.00",$145.89,$199.00,"13,374","1,696",8,0,98.57%,2.39%,post,Musical
2022-06-12,The Minutes,Studio 54,"$280,802.00","$8,304.00",$88.36,$195.00,"3,178",667,8,0,59.56%,1.13%,post,Play
2022-06-12,The Music Man,Winter Garden Theatre,"$3,411,384.96","$137,099.32",$278.09,$597.00,"12,267","1,525",8,0,100.55%,0.62%,post,Musical
2022-06-12,The Phantom of the Opera,Majestic Theatre,"$965,649.70","$84,994.86",$93.18,$247.00,"10,363","1,605",8,0,80.71%,8.81%,post,Musical
2022-06-12,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$931,804.00","$183,873.50",$118.60,$249.00,"7,857","1,478",8,0,66.45%,12.79%,post,Musical
2022-06-12,Wicked,Gershwin Theatre,"$1,861,096.00","$169,502.00",$130.39,$260.00,"14,273","1,807",8,0,98.73%,5.51%,post,Musical
2022-06-05,A Strange Loop,Lyceum Theatre,"$685,772.13","-$34,781.21",$105.18,$347.00,"6,520",912,8,0,89.36%,-3.22%,post,Musical
2022-06-05,Aladdin,New Amsterdam Theatre,"$1,188,639.17","$347,462.64",$90.00,$199.50,"13,207","1,727",8,0,95.59%,-1.60%,post,Musical
2022-06-05,American Buffalo,Circle in the Square Theatre,"$433,548.80","-$62,654.52",$98.24,$299.50,"4,413",751,8,0,73.45%,-8.04%,post,Play
2022-06-05,Beetlejuice,Marquis Theatre,"$1,019,501.50","-$48,427.50",$114.63,$249.00,"8,894","1,602",8,0,69.40%,-2.18%,post,Musical
2022-06-05,Chicago,Ambassador Theatre,"$763,452.49","-$9,230.17",$97.90,$207.00,"7,798","1,080",8,0,90.25%,-1.38%,post,Musical
2022-06-05,Come From Away,Gerald Schoenfeld Theatre,"$461,759.50","$2,104.00",$86.70,$247.00,"5,326","1,046",8,0,63.65%,0.49%,post,Musical
2022-06-05,Company,Bernard B. Jacobs Theatre,"$582,979.15","-$101,530.45",$106.27,$327.00,"5,486","1,046",8,0,65.56%,-9.26%,post,Musical
2022-06-05,Dear Evan Hansen,Music Box Theatre,"$508,454.95","-$79,916.34",$92.90,$248.00,"5,473",984,8,0,69.52%,-9.61%,post,Musical
2022-06-05,for colored girls who have considered suicide/when the rainbow is enuf,Booth Theatre,"$300,666.34","$74,359.64",$69.06,$223.00,"4,354",773,8,0,70.41%,18.18%,post,Play
2022-06-05,Funny Girl,August Wilson Theatre,"$1,178,026.75","-$83,587.80",$137.72,$0.00,"8,554","1,219",8,0,87.72%,-7.18%,post,Musical
2022-06-05,Girl From the North Country,Belasco Theatre,"$308,134.24",$776.24,$86.95,$197.00,"3,544",798,8,0,55.51%,-2.29%,post,Musical
2022-06-05,Hadestown,Walter Kerr Theatre,"$846,938.85","-$323,930.65",$118.52,$0.00,"7,146",918,8,0,97.30%,-3.11%,post,Musical
2022-06-05,Hamilton,Richard Rodgers Theatre,"$2,191,718.00","-$131,271.00",$206.94,$449.00,"10,591","1,324",8,0,99.99%,1.49%,post,Musical
2022-06-05,Hangmen,John Golden Theatre,"$257,198.56","-$30,252.44",$91.99,$223.00,"2,796",802,8,0,43.58%,-2.66%,post,Play
2022-06-05,Harry Potter and the Cursed Child,Lyric Theatre,"$1,331,192.30","-$255,372.80",$116.96,$276.50,"11,382","1,622",8,0,87.72%,-9.00%,post,Play
2022-06-05,How I Learned to Drive,Samuel J. Friedman Theatre,"$160,548.00","-$210,625.00",$47.95,$299.00,"3,348",637,7,0,75.08%,-9.34%,post,Play
2022-06-05,Macbeth,Longacre Theatre,"$995,270.20","-$121,308.20",$149.22,$497.00,"6,670","1,051",8,0,79.33%,-14.87%,post,Play
2022-06-05,MJ The Musical,Neil Simon Theatre,"$1,402,897.40","-$57,292.90",$133.49,$250.00,"10,509","1,387",8,0,94.71%,0.91%,post,Musical
2022-06-05,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,196,718.80","-$113,438.05",$124.88,$0.00,"9,583","1,300",8,0,92.14%,-0.96%,post,Musical
2022-06-05,Paradise Square,Ethel Barrymore Theatre,"$229,336.70","-$31,919.00",$49.87,$248.00,"4,599",982,8,0,58.54%,-2.56%,post,Musical
2022-06-05,Plaza Suite,Hudson Theatre,"$1,576,899.55","-$67,156.30",$205.14,$549.00,"7,687",975,8,0,98.55%,-0.53%,post,Play
2022-06-05,"POTUS: Or, Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive",Sam S. Shubert Theatre,"$430,900.00","-$14,841.00",$77.17,$248.00,"5,584","1,451",8,0,48.10%,-3.67%,post,Play
2022-06-05,SIX: The Musical,Lena Horne Theatre,"$1,167,198.00","-$116,646.00",$152.10,$249.00,"7,674","1,031",8,0,93.04%,-5.53%,post,Musical
2022-06-05,Take Me Out,Helen Hayes Theater,"$658,210.15","$66,651.30",$143.53,$299.00,"4,586",581,8,0,98.67%,0.74%,post,Play
2022-06-05,The Book of Mormon,Eugene O'Neill Theatre,"$947,843.90","-$105,309.15",$122.18,$0.00,"7,758","1,066",8,0,90.97%,-5.71%,post,Musical
2022-06-05,The Lion King,Minskoff Theatre,"$1,864,584.00","-$135,700.00",$142.88,$199.00,"13,050","1,696",8,0,96.18%,-3.15%,post,Musical
2022-06-05,The Minutes,Studio 54,"$272,498.00","-$49,675.00",$87.40,$195.00,"3,118",667,8,0,58.43%,-9.82%,post,Play
2022-06-05,The Music Man,Winter Garden Theatre,"$3,274,285.64","-$13,008.24",$268.58,$597.00,"12,191","1,525",8,0,99.93%,-0.41%,post,Musical
2022-06-05,The Phantom of the Opera,Majestic Theatre,"$880,654.84","-$95,449.59",$95.39,$247.00,"9,232","1,605",8,0,71.90%,-6.36%,post,Musical
2022-06-05,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$747,930.50","-$161,075.00",$117.88,$249.00,"6,345","1,478",8,0,53.66%,-11.94%,post,Musical
2022-06-05,Wicked,Gershwin Theatre,"$1,691,594.00","-$88,613.00",$125.53,$260.00,"13,476","1,807",8,0,93.22%,-1.29%,post,Musical
2022-05-29,A Strange Loop,Lyceum Theatre,"$720,553.34","$16,825.61",$106.67,$313.00,"6,755",912,8,0,92.58%,2.79%,post,Musical
2022-05-29,Aladdin,New Amsterdam Theatre,"$841,176.53","-$239,200.26",$100.24,$199.50,"8,392","1,727",5,0,97.19%,2.92%,post,Musical
2022-05-29,American Buffalo,Circle in the Square Theatre,"$496,203.32","-$59,062.08",$101.35,$299.50,"4,896",751,8,0,81.49%,1.08%,post,Play
2022-05-29,Beetlejuice,Marquis Theatre,"$1,067,929.00","$164,598.50",$116.41,$249.00,"9,174","1,602",8,0,71.58%,8.24%,post,Musical
2022-05-29,Birthday Candles,American Airlines Theatre,"$328,372.00","$57,735.00",$69.61,$197.00,"4,717",727,8,0,81.10%,15.14%,post,Play
2022-05-29,Chicago,Ambassador Theatre,"$772,682.66","$53,882.87",$97.60,$207.00,"7,917","1,080",8,0,91.63%,5.17%,post,Musical
2022-05-29,Come From Away,Gerald Schoenfeld Theatre,"$459,655.50","-$20,814.48",$86.97,$247.00,"5,285","1,046",8,0,63.16%,2.57%,post,Musical
2022-05-29,Company,Bernard B. Jacobs Theatre,"$684,509.60","-$41,500.10",$109.33,$327.00,"6,261","1,046",8,0,74.82%,-1.57%,post,Musical
2022-05-29,Dear Evan Hansen,Music Box Theatre,"$588,371.29","$41,127.79",$94.46,$248.00,"6,229",984,8,0,79.13%,6.44%,post,Musical
2022-05-29,for colored girls who have considered suicide/when the rainbow is enuf,Booth Theatre,"$226,306.70","-$112,870.70",$70.06,$223.00,"3,230",773,8,0,52.23%,-19.62%,post,Play
2022-05-29,Funny Girl,August Wilson Theatre,"$1,261,614.55","-$58,156.95",$136.32,$0.00,"9,255","1,219",8,0,94.90%,-2.90%,post,Musical
2022-05-29,Girl From the North Country,Belasco Theatre,"$307,358.00","$2,549.00",$83.29,$197.00,"3,690",798,8,0,57.80%,1.33%,post,Musical
2022-05-29,Hadestown,Walter Kerr Theatre,"$1,170,869.50","$130,595.25",$158.78,$0.00,"7,374",918,8,0,100.41%,-0.33%,post,Musical
2022-05-29,Hamilton,Richard Rodgers Theatre,"$2,322,989.00","$56,664.00",$222.66,$449.00,"10,433","1,324",8,0,98.50%,2.48%,post,Musical
2022-05-29,Hangmen,John Golden Theatre,"$287,451.00","-$19,416.91",$96.88,$223.00,"2,967",802,8,0,46.24%,-2.53%,post,Play
2022-05-29,Harry Potter and the Cursed Child,Lyric Theatre,"$1,586,565.10","$254,020.60",$126.41,$276.50,"12,551","1,622",8,0,96.72%,8.93%,post,Play
2022-05-29,How I Learned to Drive,Samuel J. Friedman Theatre,"$371,173.00",$806.00,$86.28,$299.00,"4,302",637,8,0,84.42%,1.22%,post,Play
2022-05-29,Macbeth,Longacre Theatre,"$1,116,578.40","-$237,121.10",$161.12,$473.00,"6,930","1,051",7,0,94.20%,-2.55%,post,Play
2022-05-29,MJ The Musical,Neil Simon Theatre,"$1,460,190.30","-$4,435.50",$140.29,$250.00,"10,408","1,387",8,0,93.80%,-3.33%,post,Musical
2022-05-29,Moulin Rouge! The Musical,Al Hirschfeld Theatre,"$1,310,156.85","-$59,104.80",$135.32,$0.00,"9,682","1,300",8,0,93.10%,-2.05%,post,Musical
2022-05-29,Mr. Saturday Night,Nederlander Theatre,"$396,540.00","-$422,442.00",$131.65,$299.00,"3,012","1,188",4,0,63.38%,-6.12%,post,Musical
2022-05-29,Mrs. Doubtfire,Stephen Sondheim Theatre,"$725,699.60","$215,724.60",$92.66,$227.00,"7,832","1,034",8,0,94.68%,20.89%,post,Musical
2022-05-29,Paradise Square,Ethel Barrymore Theatre,"$261,255.70","$19,303.30",$54.43,$248.00,"4,800",982,8,0,61.10%,3.79%,post,Musical
2022-05-29,Plaza Suite,Hudson Theatre,"$1,644,055.85","-$3,451.15",$212.74,$549.00,"7,728",975,8,0,99.08%,0.02%,post,Play
2022-05-29,"POTUS: Or, Behind Every Great Dumbass Are Seven Women Trying to Keep Him Alive",Sam S. Shubert Theatre,"$445,741.00","-$83,708.19",$74.17,$248.00,"6,010","1,451",8,0,51.77%,-5.81%,post,Play
2022-05-29,SIX: The Musical,Lena Horne Theatre,"$1,283,844.00",$428.00,$157.91,$249.00,"8,130","1,031",8,0,98.57%,0.01%,post,Musical
2022-05-29,Take Me Out,Helen Hayes Theater,"$591,558.85","$50,899.40",$129.96,$299.00,"4,552",581,8,0,97.93%,1.05%,post,Play
2022-05-29,The Book of Mormon,Eugene O'Neill Theatre,"$1,053,153.05","$32,004.60",$127.73,$0.00,"8,245","1,066",8,0,96.68%,1.93%,post,Musical
2022-05-29,The Lion King,Minskoff Theatre,"$2,000,284.00","$228,927.00",$148.42,$199.00,"13,477","1,696",8,0,99.33%,3.45%,post,Musical
2022-05-29,The Minutes,Studio 54,"$322,173.00","-$20,001.00",$88.46,$195.00,"3,642",667,8,0,68.25%,-1.71%,post,Play
2022-05-29,The Music Man,Winter Garden Theatre,"$3,287,293.88","-$200,561.32",$268.55,$597.00,"12,241","1,525",8,0,100.34%,-0.61%,post,Musical
2022-05-29,The Phantom of the Opera,Majestic Theatre,"$976,104.43","$83,665.39",$97.13,$247.00,"10,049","1,605",8,0,78.26%,6.62%,post,Musical
2022-05-29,The Skin of Our Teeth,Vivian Beaumont Theater,"$289,682.00","$125,203.00",$51.49,$225.00,"5,626","1,058",8,0,66.47%,22.87%,post,Play
2022-05-29,Tina: The Tina Turner Musical,Lunt-Fontanne Theatre,"$909,005.50","-$104,150.00",$117.20,$249.00,"7,756","1,478",8,0,65.60%,-5.84%,post,Musical
2022-05-29,Wicked,Gershwin Theatre,"$1,780,207.00","$208,155.00",$130.30,$260.00,"13,662","1,807",8,0,94.51%,6.28%,post,Musical
2022-05-22,A Strange Loop,Lyceum Theatre,"$703,727.73","$13,059.78",$106.26,$307.00,"6,623",922,8,0,89.79%,0.46%,post,Musical
2022-05-22,Aladdin,New Amsterdam Theatre,"$1,080,376.79","$82,214.00",$82.95,$199.50,"13,025","1,727",8,0,94.27%,1.79%,post,Musical
